device,protocol,protocol_avg_size,number of packets, percent of packets, load of this device
Triby Speaker,TCP,187,1015,51.60142348754449,0.21426758502893756
Triby Speaker,Bad TCP,66,949,48.24605998983223,0.21426758502893756
Triby Speaker,UDP,342,3,0.1525165226232842,0.21426758502893756
Dropcam,TCP,185,55884,99.93562231759657,6.091430276979252
Dropcam,Bad TCP,159,33,0.059012875536480686,6.091430276979252
Dropcam,UDP,322,3,0.00536480686695279,6.091430276979252
Netatmo Welcome,UDP,69,2814,90.22122475152293,0.3397562774302269
Netatmo Welcome,TCP SYN/FIN,71,53,1.6992625841615903,0.3397562774302269
Netatmo Welcome,TCP,147,210,6.732927220262905,0.3397562774302269
Netatmo Welcome,TCP RST,54,14,0.44886181468419367,0.3397562774302269
Netatmo Welcome,HTTP,104,20,0.6412311638345624,0.3397562774302269
Netatmo Welcome,ICMP,82,8,0.25649246553382493,0.3397562774302269
Insteon Camera,UDP,103,8985,79.05155727608657,1.2381115258967483
Insteon Camera,HTTP,80,1965,17.28840401196551,1.2381115258967483
Insteon Camera,TCP RST,62,416,3.6600387119479145,1.2381115258967483
Samsung SmartCam,TCP,124,3492,84.24607961399276,0.4515196441001252
Samsung SmartCam,Bad TCP,130,38,0.916767189384801,0.4515196441001252
Samsung SmartCam,UDP,322,3,0.07237635705669482,0.4515196441001252
Samsung SmartCam,HTTP,106,486,11.72496984318456,0.4515196441001252
Samsung SmartCam,TCP SYN/FIN,70,126,3.039806996381182,0.4515196441001252
HP Printer,TCP,140,579,83.67052023121387,0.07538036036605225
HP Printer,Bad TCP,140,106,15.31791907514451,0.07538036036605225
HP Printer,UDP,342,3,0.4335260115606936,0.07538036036605225
HP Printer,ICMP,86,4,0.5780346820809248,0.07538036036605225
Smart Things,TCP,92,3033,42.562447375806904,0.7762434219197809
Smart Things,Bad TCP,60,4093,57.4375526241931,0.7762434219197809
Amazon Echo,UDP,196,3752,33.15366263143943,1.2327738992234298
Amazon Echo,TCP,119,4960,43.82786957674295,1.2327738992234298
Amazon Echo,HTTP,67,2101,18.564990721922772,1.2327738992234298
Amazon Echo,TCP SYN/FIN,71,117,1.0338428912255897,1.2327738992234298
Amazon Echo,TCP RST,54,60,0.5301758416541487,1.2327738992234298
Amazon Echo,Bad TCP,91,327,2.88945833701511,1.2327738992234298
Withings Aura smart sleep sensor,TCP,145,5066,84.41926345609065,0.6536958707466468
Withings Aura smart sleep sensor,UDP,342,3,0.049991668055324116,0.6536958707466468
Withings Aura smart sleep sensor,HTTP,256,931,15.514080986502249,0.6536958707466468
Withings Aura smart sleep sensor,Bad TCP,225,1,0.016663889351774704,0.6536958707466468
Light Bulbs LiFX Smart Bulb,TCP,126,1400,84.59214501510573,0.18028106417025505
Light Bulbs LiFX Smart Bulb,Bad TCP,122,252,15.226586102719034,0.18028106417025505
Light Bulbs LiFX Smart Bulb,UDP,590,3,0.18126888217522658,0.18028106417025505
Belkin wemo motion sensor,TCP SYN/FIN,69,1227,32.01147925906601,0.41753312324144265
Belkin wemo motion sensor,TCP,142,2472,64.49256457083224,0.41753312324144265
Belkin wemo motion sensor,Bad TCP,74,127,3.3133315940516566,0.41753312324144265
Belkin wemo motion sensor,TCP RST,62,7,0.1826245760500913,0.41753312324144265
Samsung Galaxy Tab,TCP,123,4604,80.02781157656874,0.6266809439102582
Samsung Galaxy Tab,Bad TCP,113,476,8.273944029202156,0.6266809439102582
Samsung Galaxy Tab,ICMP,86,139,2.416130714409873,0.6266809439102582
Samsung Galaxy Tab,HTTP,104,254,4.415087780288545,0.6266809439102582
Samsung Galaxy Tab,TCP SYN/FIN,71,234,4.067443073179211,0.6266809439102582
Samsung Galaxy Tab,TCP RST,56,43,0.7474361202850687,0.6266809439102582
Samsung Galaxy Tab,UDP,350,3,0.052146706066400136,0.6266809439102582
Belkin Wemo switch,TCP,160,407,98.0722891566265,0.04520642998831169
Belkin Wemo switch,TCP SYN/FIN,74,3,0.7228915662650602,0.04520642998831169
Belkin Wemo switch,TCP RST,62,3,0.7228915662650602,0.04520642998831169
Belkin Wemo switch,Bad TCP,78,2,0.48192771084337355,0.04520642998831169
Netatmo weather station,TCP SYN/FIN,58,131,18.555240793201133,0.07690539655842904
Netatmo weather station,TCP,118,451,63.88101983002833,0.07690539655842904
Netatmo weather station,Bad TCP,54,59,8.356940509915015,0.07690539655842904
Netatmo weather station,UDP,350,65,9.206798866855523,0.07690539655842904
Withings Smart scale,HTTP,331,72,100.0,0.007843043275080583
Android Phone,ICMP,82,6,0.1766264350897851,0.37003913896456575
Android Phone,TCP SYN/FIN,72,289,8.507506623491317,0.37003913896456575
Android Phone,HTTP,187,385,11.333529584927877,0.37003913896456575
Android Phone,TCP,234,2085,61.37768619370032,0.37003913896456575
Android Phone,Bad TCP,144,506,14.895496025905212,0.37003913896456575
Android Phone,TCP RST,57,116,3.4147777450691787,0.37003913896456575
Android Phone,UDP,650,10,0.2943773918163085,0.37003913896456575
Laptop,HTTP,74,24252,3.029504314033131,87.20233199820045
Laptop,TCP SYN/FIN,60,660,0.08244568890243552,87.20233199820045
Laptop,TCP,58,756971,94.55908420328109,87.20233199820045
Laptop,UDP,184,12414,1.5507284576285372,87.20233199820045
Laptop,ICMP,86,133,0.016614055490945343,87.20233199820045
Laptop,TCP RST,54,80,0.009993416836658851,87.20233199820045
Laptop,Bad TCP,60,6017,0.7516298638272038,87.20233199820045
